retiro_ID,fecha,year,mes,semestre,estudiante_nombres,estudiante_apellidos,carrera,estudiante_fecha_ingreso,genero,docente_nombres,docente_apellidos,departamento,materia_nombre,uvs,periodo,fecha_inicio,fecha_fin,tipo_retiro,razon_retiro
1,2022-01-11,2022,1,1,Juan,Pérez,Informática,2019-08-15,Masculino,Luis Gómez,Informática,Informática,Estructuras de Datos,4,1,2022-01-11,2022-06-04,Temporal,Salud
2,2022-01-12,2022,1,1,María,González,Matemática,2020-03-20,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
3,2022-01-13,2022,1,1,Carlos,Martínez,Física,2018-11-10,Masculino,Ana Ramírez,Matemática,Matemática,Álgebra Lineal,5,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
4,2022-01-14,2022,1,1,Laura,Sánchez,Biología,2021-02-05,Femenino,Marco Antonio Coronado,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
5,2022-01-15,2022,1,1,Pedro,Rodríguez,Química,2020-07-18,Masculino,Gabino Iglesias,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Salud
6,2022-01-16,2022,1,1,Ana,Fernández,Ciencias Sociales,2019-09-22,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
7,2022-01-17,2022,1,1,Jorge,Díaz,Informática,2021-01-30,Masculino,Luis Gómez,Informática,Informática,Bases de Datos,5,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
8,2022-01-18,2022,1,1,Sofía,Hernández,Matemática,2018-05-12,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo II,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
9,2022-01-19,2022,1,1,Diego,López,Física,2020-10-25,Masculino,Ana Ramírez,Matemática,Matemática,Álgebra Lineal,5,1,2022-01-11,2022-06-04,Temporal,Salud
10,2022-01-20,2022,1,1,Valeria,Torres,Biología,2021-03-15,Femenino,Graciela Cervántez,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
11,2022-01-21,2022,1,1,Andrés,Mendoza,Química,2019-06-08,Masculino,Gilberto Alcántar,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
12,2022-01-22,2022,1,1,Daniela,Castro,Ciencias Sociales,2020-09-14,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
13,2022-01-23,2022,1,1,Ricardo,Ortiz,Informática,2018-12-03,Masculino,Luis Gómez,Informática,Informática,Programación Web,3,1,2022-01-11,2022-06-04,Temporal,Salud
14,2022-01-24,2022,1,1,Patricia,Núñez,Matemática,2021-04-17,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
15,2022-01-25,2022,1,1,Fernando,Gutiérrez,Física,2019-07-29,Masculino,Ana Ramírez,Matemática,Matemática,Cálculo II,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
16,2022-01-26,2022,1,1,Adriana,Ríos,Biología,2020-11-21,Femenino,Marco Antonio Coronado,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
17,2022-01-27,2022,1,1,Roberto,Vargas,Química,2021-05-06,Masculino,Gabino Iglesias,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Salud
18,2022-01-28,2022,1,1,Claudia,Medina,Ciencias Sociales,2018-10-12,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
19,2022-01-29,2022,1,1,Eduardo,Silva,Informática,2019-01-25,Masculino,Luis Gómez,Informática,Informática,Estructuras de Datos,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
20,2022-01-30,2022,1,1,Verónica,Dominguez,Matemática,2020-08-19,Femenino,Ana Ramírez,Matemática,Matemática,Álgebra Lineal,5,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
21,2022-01-31,2022,1,1,José,Rojas,Física,2021-02-28,Masculino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Temporal,Salud
22,2022-01-11,2022,1,1,Luisa,Morales,Biología,2019-09-15,Femenino,Graciela Cervántez,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
23,2022-01-12,2022,1,1,Mario,Jiménez,Química,2020-04-22,Masculino,Gilberto Alcántar,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
24,2022-01-13,2022,1,1,Isabel,Chávez,Ciencias Sociales,2018-07-31,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
25,2022-01-14,2022,1,1,Francisco,Vega,Informática,2021-03-08,Masculino,Luis Gómez,Informática,Informática,Bases de Datos,5,1,2022-01-11,2022-06-04,Temporal,Salud
26,2022-01-15,2022,1,1,Gloria,Campos,Matemática,2019-10-17,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo II,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
27,2022-01-16,2022,1,1,Alberto,Ortega,Física,2020-05-29,Masculino,Ana Ramírez,Matemática,Matemática,Álgebra Lineal,5,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
28,2022-01-17,2022,1,1,Silvia,Paredes,Biología,2021-01-12,Femenino,Marco Antonio Coronado,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
29,2022-01-18,2022,1,1,Arturo,Delgado,Química,2018-11-24,Masculino,Gabino Iglesias,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Salud
30,2022-01-19,2022,1,1,Rosa,Guerrero,Ciencias Sociales,2019-12-05,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
31,2022-01-20,2022,1,1,Manuel,Aguilar,Informática,2020-06-18,Masculino,Luis Gómez,Informática,Informática,Programación Web,3,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
32,2022-01-21,2022,1,1,Elena,Ruiz,Matemática,2021-04-01,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
33,2022-01-22,2022,1,1,Raúl,Mendoza,Física,2019-07-14,Masculino,Ana Ramírez,Matemática,Matemática,Cálculo II,4,1,2022-01-11,2022-06-04,Temporal,Salud
34,2022-01-23,2022,1,1,Teresa,Castro,Biología,2020-10-27,Femenino,Graciela Cervántez,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
35,2022-01-24,2022,1,1,Sergio,Flores,Química,2018-09-08,Masculino,Gilberto Alcántar,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
36,2022-01-25,2022,1,1,Beatriz,Orozco,Ciencias Sociales,2021-02-19,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
37,2022-01-26,2022,1,1,Oscar,Santos,Informática,2019-11-30,Masculino,Luis Gómez,Informática,Informática,Estructuras de Datos,4,1,2022-01-11,2022-06-04,Temporal,Salud
38,2022-01-27,2022,1,1,Lucía,Moreno,Matemática,2020-12-13,Femenino,Ana Ramírez,Matemática,Matemática,Álgebra Lineal,5,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
39,2022-01-28,2022,1,1,Javier,Ríos,Física,2021-05-26,Masculino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
